text,clean_text,sentiment,average_course_evaluation_rating,dominant_topic,topic_label,topic_probability
"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",i liked learning data analytics and visualizations clustering and association rule mapping also the practical implementation of these two modules i also liked dashboarding and customer facing analytics to reduce the number of slides they are very many some modules like regression had slides which is a lot to read and master all the content in it,positive,4.2727,4,Teaching Quality and Engagement,0.7744065925035722
The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,the journals and quizzes doing physical cat and cat so that we dont have a lot to revise for the only cat we have,neutral,3.4545,0,Assessment Methods and Feedback,0.9187886283322823
"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through",the variety of sodtware we learnt to use through practice the amount of practice enabled through various labs the slides could be more organised to make it easier to go through,positive,4.8182,0,Assessment Methods and Feedback,0.9263495324842894
"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none",i liked the practical labs they encourgaed critical thinking and problemsolving i appreciated the strict deadlines because they encouraged discipline and planning ahead i liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics i have none,neutral,3.5455,0,Assessment Methods and Feedback,0.9458826450640585
"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it",how practical it is in daily life and how it has expanded my knowledge especially on investments and prediction analysis which is a field i want to pursue in my career moreover the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable the content is quite vast it probably should start in rd year because retaining all this knowledge in the span of months ie bi and bi is a bit difficult and leads me to cram the content most of the time rather than try and understand it,neutral,3.9091,4,Teaching Quality and Engagement,0.9735795393676707
"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms. The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together

",the lecturer was very detail oriented and had immense knowledge on all the topics being covered i enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms the lecture notes were very long reading for the cat was very hard since all the concepts from business intelligence and business intelligence were put together,positive,4.4545,1,Course Content and Structure,0.9672582071627169
"The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall. In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.",the course is very well structured and follows a logical flow from the bi and bi all steps outlined in kdd are covered throughout the course and i have learnt a lot about data pipeline preprocessing training and deploying models i think that every topic was explained indepth which helped me gain understanding about concepts that i would not have been able to achieve if i worked independently i also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way i approached different problems the lecturer is also very organised in terms of both notes and assigning coursework and knowledgeable which i think enhanced the learning experience overall in my opinion more labs should be assigned to individuals or slightly smaller groups if possible i think this will help learners in future classes be a little more independent and learn more from the labs,positive,4.9091,4,Teaching Quality and Engagement,0.984681454553889
"The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing. In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this.

In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.",the modules made sense and there was a logical flow of ideas i most especially enjoyed the module on time series association rule mining and natural language processing in my opinion when the lecturer is teaching he makes everything sound very importanti dont know if this makes sense also not necessarily a negative thing i often end the class feeling overwhelmed and drained i am not sure on what recommendations to give on this in addition i was having a hard time doing the lab work i suggest that maybe more explanations during class on how to do the lab work and have an example,positive,4.4545,2,Learning Resources and Materials,0.9768554004043181
it was engaging with the use of labs none,it was engaging with the use of labs none,positive,4.5455,0,Assessment Methods and Feedback,0.7992775843724311
"1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs.
2. Writing the reflective journals after each module helped solidify the concepts learnt Implementation of more catch up sessions where the lecturer guides us more through the labs",the in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs writing the reflective journals after each module helped solidify the concepts learnt implementation of more catch up sessions where the lecturer guides us more through the labs,positive,4.0909,0,Assessment Methods and Feedback,0.9568642857837903
"The labs and projects really help me grasp the content
The lecturer is very patient and understanding More Labs",the labs and projects really help me grasp the content the lecturer is very patient and understanding more labs,positive,4.5455,1,Course Content and Structure,0.5575094486566338
"1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts.
2. The additional notes in the lecture slides helped explain the concepts better.
3. The slides were comprehensive. Cats to be uniform across all groups",i liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts the additional notes in the lecture slides helped explain the concepts better the slides were comprehensive cats to be uniform across all groups,positive,4.7273,4,Teaching Quality and Engagement,0.9592625090033103
"1. The seamless flow between the different modules acted as building blocks for better understanding of the next module
2. The technical integration to every module learnt If the school could provide hardware with better specs , for the unit is labour intensive on the machinery",the seamless flow between the different modules acted as building blocks for better understanding of the next module the technical integration to every module learnt if the school could provide hardware with better specs for the unit is labour intensive on the machinery,positive,4.4545,4,Teaching Quality and Engagement,0.9419060574523692
"How applicable it is in real life
Learning new things Before getting into BI, maybe a short course on frontend and backend since BI is very technical",how applicable it is in real life learning new things before getting into bi maybe a short course on frontend and backend since bi is very technical,positive,4.5455,4,Teaching Quality and Engagement,0.9326020427477465
"Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment. Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.",hands on coding practice writing module reflections watching assignments comprehensive assessment giving more and more assignments inviting an industry professional from a well known company whose shares are traded on the nairobi securities exchange nse in kenya to give a talk,positive,5.0,2,Learning Resources and Materials,0.4293658017161483
"The lecturer is nice and well-organized, he explains concepts well and is open to student opinions.
In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention. Early preparation that the labs in this unit require applications that are storage consuming.",the lecturer is nice and wellorganized he explains concepts well and is open to student opinions in business intelligence ii i appreciated how the concept of quizzes group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention early preparation that the labs in this unit require applications that are storage consuming,positive,5.0,1,Course Content and Structure,0.6547974518590222
The labs and the quizzes. More lab group work.,the labs and the quizzes more lab group work,positive,5.0,2,Learning Resources and Materials,0.8639714626866674
Group works and quizzes -,group works and quizzes,positive,4.2727,2,Learning Resources and Materials,0.47542335379369677
"It was thorough, and the course is interesting Less slides, 800 slides for one unit(BI 1) is overwhelming",it was thorough and the course is interesting less slides slides for one unitbi is overwhelming,positive,4.0909,2,Learning Resources and Materials,0.8361955339038859
group and evaluation methords of teaching The notes are abit too many,group and evaluation methords of teaching the notes are abit too many,positive,4.2727,1,Course Content and Structure,0.6042907381332739
"1.I liked how the course combined both theoretical and practical aspects of Business Intelligence, allowing me to understand concepts and then apply them in real-world scenarios.

2.The lecturer’s clarity and engagement made complex topics easier to grasp, and the use of practical exercises and class discussions helped reinforce understanding. 1.I recommend including more hands-on projects and case studies using real datasets and BI tools. This would help students better understand how Business Intelligence is applied in real business environments and strengthen their practical skills.",i liked how the course combined both theoretical and practical aspects of business intelligence allowing me to understand concepts and then apply them in realworld scenarios the lecturers clarity and engagement made complex topics easier to grasp and the use of practical exercises and class discussions helped reinforce understanding i recommend including more handson projects and case studies using real datasets and bi tools this would help students better understand how business intelligence is applied in real business environments and strengthen their practical skills,positive,5.0,3,Practical Labs and Hands-on Learning,0.982686988784786
#NAME? None at the moment. Everything is okay so far.,name none at the moment everything is okay so far,positive,5.0,4,Teaching Quality and Engagement,0.7989981394604381
"The consistency was good from the lecturer which was engaging, the labs and groups work was useful To be taken to career industry and career talks",the consistency was good from the lecturer which was engaging the labs and groups work was useful to be taken to career industry and career talks,neutral,3.7273,0,Assessment Methods and Feedback,0.4953024604219441
"I like the structure and how each module kind of builds on the previous. I enjoy the different learning methods i.e labs, quizzes and group work A known certification associated with the unit would be nice",i like the structure and how each module kind of builds on the previous i enjoy the different learning methods ie labs quizzes and group work a known certification associated with the unit would be nice,positive,4.7273,2,Learning Resources and Materials,0.9415157852763958
"Good explanations of points 
Clear points Less slides on notes",good explanations of points clear points less slides on notes,positive,4.0,1,Course Content and Structure,0.8974758443606906
the interaction with Git was really nice and learning about tools maybe shortening of slides,the interaction with git was really nice and learning about tools maybe shortening of slides,positive,5.0,1,Course Content and Structure,0.8990751747986926
it was very interactive and very well taught it is okay,it was very interactive and very well taught it is okay,neutral,3.9091,3,Practical Labs and Hands-on Learning,0.7950040643065941
quizes and practical assignments The knowledge provided in this Unit is unbelievably excess,quizes and practical assignments the knowledge provided in this unit is unbelievably excess,negative,2.3636,1,Course Content and Structure,0.5765115628809329
"Getting hands on with the labs
Getting to create and use the models Less bulky content",getting hands on with the labs getting to create and use the models less bulky content,positive,4.3636,0,Assessment Methods and Feedback,0.9098598580826142
labs and the different levels and bonus marks break the units into smaller chuncks so that the slides are not so long .,labs and the different levels and bonus marks break the units into smaller chuncks so that the slides are not so long,positive,4.3636,0,Assessment Methods and Feedback,0.8979206521033507
"the labs had notebooks where we could learn from, Real life applications The slides are too bulky making it discouraging to read",the labs had notebooks where we could learn from real life applications the slides are too bulky making it discouraging to read,positive,4.2727,4,Teaching Quality and Engagement,0.9257854747487553
"Timeliness, group work Less difficult cats",timeliness group work less difficult cats,negative,2.9091,2,Learning Resources and Materials,0.6337837866326245
"How to predict stocks
Visualization of data Using r studio",how to predict stocks visualization of data using r studio,positive,5.0,1,Course Content and Structure,0.7993986879289755
"The lab instructions
The group works
The practical examples used.
The journals To reduce the content a bit",the lab instructions the group works the practical examples used the journals to reduce the content a bit,positive,4.1818,3,Practical Labs and Hands-on Learning,0.5073766678118311
"Quizzes at the end of each module.
Labs for each module. Some form of certification after completing the course.",quizzes at the end of each module labs for each module some form of certification after completing the course,positive,5.0,2,Learning Resources and Materials,0.9098784471930008
Participative class and involving labs Shorter documents as slides,participative class and involving labs shorter documents as slides,positive,4.9091,1,Course Content and Structure,0.8835525685057773
"1. Practical Application of Concepts: I liked that the course didn’t just focus on theory but also emphasized hands-on learning. Using real-world datasets and BI tools allowed me to see how concepts like data visualization, dashboards, and reporting apply directly to business decision-making.
2.Interactive Learning Environment: I appreciated how the teaching encouraged interaction through discussions, case studies, and group projects. This approach helped me understand complex topics like data analytics, predictive modeling, and KPIs more effectively because I could learn from both the lecturer and my peers. ",practical application of concepts i liked that the course didnt just focus on theory but also emphasized handson learning using realworld datasets and bi tools allowed me to see how concepts like data visualization dashboards and reporting apply directly to business decisionmaking interactive learning environment i appreciated how the teaching encouraged interaction through discussions case studies and group projects this approach helped me understand complex topics like data analytics predictive modeling and kpis more effectively because i could learn from both the lecturer and my peers,positive,4.8182,1,Course Content and Structure,0.9819083968529215
"The group works
The content Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.",the group works the content please the notes are alot and if its a sitin cat if alot is covered kindly consider open book cats,positive,4.5455,0,Assessment Methods and Feedback,0.9076187176475814
It is very practical. Every topic had a lab. There is so much content in this unit as a whole and the theory becomes hard to grasp,it is very practical every topic had a lab there is so much content in this unit as a whole and the theory becomes hard to grasp,positive,4.7273,3,Practical Labs and Hands-on Learning,0.5406816831119869
"The material was delivered well. Like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff.
The assignments given were good. Like they were comprehensive enough buy not too stressful to do
 The answers for the quiz should be provided after like we've done them for revision purposes",the material was delivered well like even though some topics were quite hard to understand the lecturer explained the content well without assuming we knew stuff the assignments given were good like they were comprehensive enough buy not too stressful to do the answers for the quiz should be provided after like weve done them for revision purposes,positive,4.6364,4,Teaching Quality and Engagement,0.9548222717866005
It was more of practical than theory To reduce the contents of the notes the pages are too much,it was more of practical than theory to reduce the contents of the notes the pages are too much,positive,4.7273,3,Practical Labs and Hands-on Learning,0.8649915415179219
"The labs were engaging 
The classes were lively
 take away assignments",the labs were engaging the classes were lively take away assignments,positive,4.0,0,Assessment Methods and Feedback,0.8385026425457864
"It was vast and informative 
It exposed me to very interesting knowledge Less slides",it was vast and informative it exposed me to very interesting knowledge less slides,positive,4.0909,2,Learning Resources and Materials,0.8353922373739773
Interactive and Engaging ,interactive and engaging,positive,4.2727,0,Assessment Methods and Feedback,0.7321549268831887
"I liked that it was more practical it keeps the unit interesting other than learning theory online
I liked that the lecturer had a lot of course work for us that will help boost our grades I feel like for this unit it should be held in parts of the school where the WIFI is 
stable",i liked that it was more practical it keeps the unit interesting other than learning theory online i liked that the lecturer had a lot of course work for us that will help boost our grades i feel like for this unit it should be held in parts of the school where the wifi is stable,positive,4.6364,1,Course Content and Structure,0.9570174415717938
"I loved that most of these concepts were tied down to a real world application 

I also liked that the lecturer created pre-designed labs to help us understand a concept, before attempting it on our own Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone",i loved that most of these concepts were tied down to a real world application i also liked that the lecturer created predesigned labs to help us understand a concept before attempting it on our own breaking down of topics with many slides will help i think the brain gets drained when we see very many slides on one topic alone,positive,4.6364,1,Course Content and Structure,0.9548886870657342
"Clear and structured presentation of complex information, making it easier to understand key concepts and data.
 More Interactive classes with an emphasis on visual aids to explain complex topics, e.g., videos, Case studies, and real-life applications of the technologies and tools, and their relevance. Practical focus on real-world applications and strategic insights, which helps connect theory to actionable outcomes.",clear and structured presentation of complex information making it easier to understand key concepts and data more interactive classes with an emphasis on visual aids to explain complex topics eg videos case studies and reallife applications of the technologies and tools and their relevance practical focus on realworld applications and strategic insights which helps connect theory to actionable outcomes,positive,4.6364,1,Course Content and Structure,0.9711010056158299
"The videos we watched explaining how some of the concepts we learn are implemented in the real world
I also liked the topic on time series forecasting, and the use case we focused on: the stock market. For topics with large content, it would be better to break down the slides. Reading notes from more than 200 slides can be daunting mentally.",the videos we watched explaining how some of the concepts we learn are implemented in the real world i also liked the topic on time series forecasting and the use case we focused on the stock market for topics with large content it would be better to break down the slides reading notes from more than slides can be daunting mentally,positive,4.4545,1,Course Content and Structure,0.9644252238505503
"1. The lecturer was quite graceful in explaining different topics and the required lab work.
2. The lab work was a bit hectic. Trying to go through each module while simultaneously covering theoretical practices was difficult. Lab submissions should be made a little easier for the next groups.",the lecturer was quite graceful in explaining different topics and the required lab work the lab work was a bit hectic trying to go through each module while simultaneously covering theoretical practices was difficult lab submissions should be made a little easier for the next groups,positive,4.5455,2,Learning Resources and Materials,0.9615105214490649
I liked that the lecturer would stop during the lecture and ask questions to the students. I also liked that we had quizzes at the end of each module. ,i liked that the lecturer would stop during the lecture and ask questions to the students i also liked that we had quizzes at the end of each module,positive,4.0909,1,Course Content and Structure,0.5982567223974833
"1. Having the online class as the teaching class and the physical class as the practical class. (Helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically)
2. The labs were a good source of understanding Less slides, a manageable amount for reading for exams should probably be released at the end of the semester",having the online class as the teaching class and the physical class as the practical class helps enhanced understanding since any problem would be instantly helped and you usually repeat what you said in the online class as you show it practically the labs were a good source of understanding less slides a manageable amount for reading for exams should probably be released at the end of the semester,positive,4.0,0,Assessment Methods and Feedback,0.9698312034712215
The lab exposure None to comment,the lab exposure none to comment,neutral,3.0,2,Learning Resources and Materials,0.5972907306666988
"The Quizs, The Coding part Reduce the Notes Pleaaseeee!!!!! A lot of Content 
you can imagine 200-300 slides to read, this is a bit much 

Also To Teach us how code or explain the Lab submission Requirement 
",the quizs the coding part reduce the notes pleaaseeee a lot of content you can imagine slides to read this is a bit much also to teach us how code or explain the lab submission requirement,positive,4.2727,3,Practical Labs and Hands-on Learning,0.9324041120066134
"Hands-on, Practical Learning, Clear Guidance and Structured Content Include more real-world case studies or industry-based projects",handson practical learning clear guidance and structured content include more realworld case studies or industrybased projects,positive,5.0,3,Practical Labs and Hands-on Learning,0.9324470592943164
I liked the group work and the github collaborations for lab assignment The number of slides tends to feel very overhwhelming.,i liked the group work and the github collaborations for lab assignment the number of slides tends to feel very overhwhelming,neutral,3.5455,2,Learning Resources and Materials,0.8974579433462181
Group work and assignments None from me,group work and assignments none from me,positive,4.0,2,Learning Resources and Materials,0.7990410138811815
The many course materials and coursework that helped deepen understanding ,the many course materials and coursework that helped deepen understanding,positive,4.6364,4,Teaching Quality and Engagement,0.8387962418535884
Practical Application in NVDIA stock .,practical application in nvdia stock,positive,4.6364,1,Course Content and Structure,0.7986711242645887
"The lec planned his lessons really well 
The notes were descriptive enough to understand the unit Maybe try lessen some of the notes.",the lec planned his lessons really well the notes were descriptive enough to understand the unit maybe try lessen some of the notes,negative,2.9091,1,Course Content and Structure,0.9097510605394908
content delivery / further reading documents none as for now,content delivery further reading documents none as for now,positive,4.6364,3,Practical Labs and Hands-on Learning,0.8387629765630024
"Lab work
data analysis
docker,apis Less assignments makes the unit hectic",lab work data analysis dockerapis less assignments makes the unit hectic,neutral,3.9091,2,Learning Resources and Materials,0.5909551035637998
standard to my career path the teaching was okay,standard to my career path the teaching was okay,positive,4.4545,0,Assessment Methods and Feedback,0.5044823493891636
The work was well explained and I understood it. The notebooks were good way to learn the implementation. ,the work was well explained and i understood it the notebooks were good way to learn the implementation,positive,5.0,4,Teaching Quality and Engagement,0.90907566481255
The lecturer explained extensively all the topics and guided during the lab assignments. More of lab tutorials,the lecturer explained extensively all the topics and guided during the lab assignments more of lab tutorials,positive,4.4545,2,Learning Resources and Materials,0.8989198302789477
I liked the end-of-module quizzes and the lab assignments To have the end of topic journals,i liked the endofmodule quizzes and the lab assignments to have the end of topic journals,positive,4.0,2,Learning Resources and Materials,0.8978760421124049
Course delivery by the lecturer the way we separate theory and practical classes More introduction to new Tools and softwares.,course delivery by the lecturer the way we separate theory and practical classes more introduction to new tools and softwares,positive,4.7273,1,Course Content and Structure,0.9180112556784927
"The course was taught extensively
The course allowed me to have hands on experience through lab work None at the moment",the course was taught extensively the course allowed me to have hands on experience through lab work none at the moment,positive,5.0,2,Learning Resources and Materials,0.5008987744563241
"classes start and end on time 
The lectures are well taught I have none",classes start and end on time the lectures are well taught i have none,positive,4.6364,3,Practical Labs and Hands-on Learning,0.507956037934978
"I enjoyed the labs and the quizzes Some of the tools did not run properly on school laptops, If this could be addressed for all future students, it would greatly improve the unit reception.",i enjoyed the labs and the quizzes some of the tools did not run properly on school laptops if this could be addressed for all future students it would greatly improve the unit reception,positive,4.9091,1,Course Content and Structure,0.9260702689099884
"Emphasis on Hands-on Projects, Integration of Business Context Replace a traditional final exam or large individual project with a team-based capstone project where students treat an instructor-provided dataset/scenario as a client request",emphasis on handson projects integration of business context replace a traditional final exam or large individual project with a teambased capstone project where students treat an instructorprovided datasetscenario as a client request,neutral,3.1818,3,Practical Labs and Hands-on Learning,0.9270506537815753
The balance between theory and practical lab sessions. The instructor’s clear explanations. Include more project-based assessments or group case studies using real business datasets,the balance between theory and practical lab sessions the instructors clear explanations include more projectbased assessments or group case studies using real business datasets,positive,4.6364,3,Practical Labs and Hands-on Learning,0.9456615455375154
Group work and communication The slides were lengthy,group work and communication the slides were lengthy,positive,4.0,2,Learning Resources and Materials,0.7972204140952126
it was interesting he’s so strict,it was interesting hes so strict,negative,2.6364,2,Learning Resources and Materials,0.7321123108277046
"The practical approach by using different tools like Docker and Power BI, made it easier to connect theory with application.
The course helped me identify areas I can apply Business Intelligence in the future A better way of communicating theory.. sometimes the content is too much making it too much information to process and understand at once",the practical approach by using different tools like docker and power bi made it easier to connect theory with application the course helped me identify areas i can apply business intelligence in the future a better way of communicating theory sometimes the content is too much making it too much information to process and understand at once,neutral,3.6364,1,Course Content and Structure,0.6939313931260364
Lecture slides and lab instructions Use some classes to summarize/revise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,lecture slides and lab instructions use some classes to summarizerevise the topic in addition to the quizzes atleast have a class discussion where students are free to ask questions abt the completed topic and get more clarification and better understanding especially for labs,positive,4.5455,3,Practical Labs and Hands-on Learning,0.9567996358505074
Involvement in learning and practice with the lab works More assignments and quizzes for more active engagement with the unit,involvement in learning and practice with the lab works more assignments and quizzes for more active engagement with the unit,positive,4.2727,0,Assessment Methods and Feedback,0.5279215044702807
"Separation of theory and practical subject between online and physical classes respectively, gides through practical labs Less software-intensive alternatives, (e.g avoiding using applications like Docker)",separation of theory and practical subject between online and physical classes respectively gides through practical labs less softwareintensive alternatives eg avoiding using applications like docker,neutral,3.4545,1,Course Content and Structure,0.9377671965345284
"The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios.
 To be honest the lesson and lectures everything went smoothly",the practical exercises and assignments helped me apply theoretical concepts to realworld scenarios to be honest the lesson and lectures everything went smoothly,positive,4.2727,3,Practical Labs and Hands-on Learning,0.9323963885689709
the lab assignments and the reflective journal i don't have any recommendations,the lab assignments and the reflective journal i dont have any recommendations,neutral,3.0909,2,Learning Resources and Materials,0.8849068958518013
