timestamp,consent,a_1_student_id,a_2_gender,a_3_class_group,b_1_i_enjoyed_the_course,b_2_classes_started_and_ended_on_time,b_3_participative_learning_environment,b_4_subject_content_delivered_according_to_course_outline_and_my_expectations,b_5_topics_were_clear_and_logically_developed,b_6_developed_my_oral_and_writing_skills,b_7_developed_my_reflective_and_critical_reasoning_skills,b_8_the_assessment_methods_assisted_me_to_learn,b_9_received_relevant_feedback,b_10_read_recommended_readings_and_notes,b_11_used_the_elearning_material_posted,c_1_principles_of_business_intelligence_and_the_dataops_philosophy,c_2_data_engineering_and_data_analytics,c_3_dashboarding_for_business-facing_and_customer-facing_analytics,c_4_regression_and_classification,c_5_clustering_and_association_rule_mining,c_6_serving_ml_models_through_a_restish_api_using_flask_in_python,c_7_time-series_analysis_time-series_forecasting_and_neural_networks,c_8_natural_language_processing,d_1_python_as_a_programming_language,d_2_vs_code_and_pycharm_for_coding_in_python,d_3_r_as_a_programming_language,d_4_r_studio_for_coding_in_r,d_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows,d_6_git_and_github,d_7_docker_for_containerization,d_8_power_bi_for_data_visualization,d_9_dbeaver_and_datagrip_for_data_management,d_10_postman_for_api_testing,d_11_flask_and_gunicorn_for_serving_ml_models,d_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files,d_13_slack_for_casual_communication_with_a_data_team,e_1_group_work,e_2_quizzes_at_the_end_of_each_module,e_3_lab_manuals,e_4_required_lab_work_submissions_at_the_end_of_each_module,e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone,e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline,e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic,e_8_supplementary_content_to_read,e_9_lecture_slides_used_during_the_class,e_10_lecture_notes_on_some_of_the_lecture_slides,e_11_the_quality_of_the_lectures_given,e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes,f_1_In_your_opinion_which_topics_(if_any)_should_be_added_to_the_Business_Intelligence_I_and_II_curriculum,f_2_In_your_opinion_which_topics_(if_any)_should_be_removed_from_the_Business_Intelligence_I_and_II_curriculum,f_3_Write_at_least_two_things_you_liked_about_the_teaching_and_learning_in_this_course,f_4_Write_at_least_one_recommendation_to_improve_the_teaching_and_learning_in_this_course_(for_future_classes),average_course_evaluation_rating,sentiment,average_level_of_learning_attained_rating,average_level_of_skills_and_competencies_rating,average_pedagogical_strategy_effectiveness_rating,absenteeism_percentage,text,clean_text,dominant_topic,topic_probability,topic_label
06-11-25 8:26,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",11,Female,Group A,3,5,2,5,5,5,4,4,4,4,4,3,3,3,4,5,4,2,1,3,3,3,3,3,4,2,2,2,4,3,3,1,4,5,3,3,3,3,1,1,5,5,3,3,,,"Learning kmeans
Learning APIs",Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,4.0909,neutral,3.125,2.7692,3.25,22.73,"Learning kmeans
Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties",learning kmeans learning apis please make cats things genuinely happen 's unfair affected parties,4,0.74336007777979,Assessments & Feedback
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",12,Male,Group A,4,5,5,5,5,3,5,5,5,4,5,4,5,4,5,5,5,3,3,5,4,3,3,4,4,2,4,3,4,5,3,1,5,5,5,5,4,4,2,2,4,4,2,3,"None, the current ones are sufficient",,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning","Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",4.6364,positive,4.25,3.4615,3.75,9.09,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",lecture practical clear separation theory practical reinforce learning introduce bi somewhere third year allow students appreciate unit deeper understanding towards,2,0.5740360177947045,Practical Labs & Hands-on Learning
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",13,Male,Group A,3,5,5,5,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,5,2,3,3,3,4,4,4,4,5,4,4,4,4,5,5,3,4,4,5,Artificial Intelligence,Dashboarding,The mode of content delivery and assessment,More quizzes,4.3636,neutral,4.0,3.6154,4.25,22.73,The mode of content delivery and assessment More quizzes,mode content delivery assessment quizzes,2,0.8663977482860195,Practical Labs & Hands-on Learning
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",14,Male,Group A,4,5,3,3,3,3,4,3,3,3,3,5,2,2,3,2,3,3,3,3,5,2,2,4,4,2,3,1,1,3,1,5,3,4,3,3,3,3,3,4,4,3,3,3,"In my opinion,iI think we should be diving more on real word topics in time series forecasting,for example explaining the financial market(This is for BI 2)
Automation
As there is a shift in the tech world with AI,in my opinion we should be taught jow to maximisze our skills using AI","In my opinion, Relational databases","I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves","More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",3.3636,negative,2.875,2.7692,3.25,4.55,"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",like everything tested covered liked fact challenged better push ourskeves engagements not completing labs university 's machines crashing sometimes heavy labs data engineering,2,0.9372109556893736,Practical Labs & Hands-on Learning
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",15,Male,Group A,2,4,4,4,4,3,2,4,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,4,4,4,4,3,2,2,4,4,3,4,A project with a real business scenario through all modules,,The merging between practical and theoretical knowledge,A project with a real business scenario through out the modules to help understand business intelligence real life activities,3.2727,negative,3.125,2.3077,3.4167,18.18,The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,merging practical theoretical knowledge project real business scenario modules help understand business intelligence real life activities,0,0.9492770916660488,Course Content & Structure
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",16,Female,Group A,4,5,3,4,4,3,4,4,4,4,3,2,2,2,3,4,4,4,3,3,3,1,1,3,3,2,2,2,2,2,2,2,1,3,2,2,1,1,4,3,5,5,5,2,Not sure,,The content delivery and overall flow of content,Reducing the number of lab submissions made throughout the semester,3.8182,negative,3.0,2.1538,2.8333,13.64,The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,content delivery overall flow content reducing number lab submissions made throughout semester,2,0.9194077446781757,Practical Labs & Hands-on Learning
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",17,Male,Group B,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,4,3,2,2,4,5,1,5,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,,,Very Practical,"Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",3.4545,negative,3.25,2.7692,2.9167,20.0,"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",practical business intelligence major selected rd year allowing years learning point depth topics fast moving nature semester made feel like crash course interest points explored course however topics spread allowing us fully immerse content would industry ready end th year positioning us strategically,4,0.9642521874942052,Assessments & Feedback
06-11-25 8:28,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",18,Male,Group A,3,5,5,5,5,4,5,5,4,4,5,3,2,2,3,4,4,2,1,4,4,2,1,4,5,3,4,2,3,3,3,3,4,4,5,4,4,5,5,5,2,3,5,3,I do not have a topic to suggest or add upon the already existing ones,"None, I believe all topics are required in the curriculum","I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides",I would like more analogies used when teaching.,4.5455,neutral,2.625,3.1538,4.0833,4.55,"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides I would like more analogies used when teaching.",like labs help practical knowledge concepts also like explanation videos slides would like analogies used teaching,2,0.941418178898985,Practical Labs & Hands-on Learning
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",19,Male,Group A,5,5,5,5,5,5,5,4,5,3,5,5,4,5,3,4,3,4,3,4,5,2,3,2,5,4,4,3,5,3,3,5,5,5,5,5,5,4,5,5,5,5,4,5,,,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class,Reduced number of slides,4.7273,positive,3.875,3.6923,4.8333,9.09,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,liked practical approach modules using labs also enjoyed effort put show real world applications concepts learnt class reduced number slides,0,0.6596389737018206,Course Content & Structure
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",20,Female,Group A,5,5,5,4,4,3,3,4,4,5,5,3,3,4,3,3,5,5,3,4,4,2,2,3,5,4,5,3,3,4,3,4,2,3,5,4,3,3,4,3,5,5,5,4,Big Data Fundamentals and analyics,,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first",Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,4.2727,neutral,3.625,3.5385,3.8333,27.27,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.",liked practical examples used understand theory work lecturer clarified parts not easily understood first students set clear concise goals beginning semester expect learn course,0,0.7413214635217104,Course Content & Structure
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",21,Female,Group A,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,3,3,5,5,5,5,3,3,5,5,3,3,4,3,5,5,5,5,5,5,The mathematics included in BI2 especially in time series forecasting,,The method of explaining concepts,No recommendations,4.9091,positive,4.5,4.1538,4.4167,0.0,The method of explaining concepts No recommendations,method explaining concepts no recommendations,0,0.7978428575645647,Course Content & Structure
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",22,Male,Group A,3,5,4,3,3,4,4,3,3,4,5,3,3,2,2,3,2,2,1,3,3,1,1,4,4,2,1,1,2,1,2,2,4,4,3,4,3,3,4,4,5,3,4,3,,,"1.How practical the module was 
2.The group work helped me improve my collaboration skills",,3.7273,negative,2.25,2.0769,3.6667,31.82,"1.How practical the module was 
2.The group work helped me improve my collaboration skills ",practical module group work helped improve collaboration skills,2,0.8982305357655483,Practical Labs & Hands-on Learning
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",23,Male,Group A,4,5,4,5,5,3,4,5,2,5,5,5,4,5,4,5,5,3,2,5,4,2,2,5,5,3,4,3,2,5,5,4,5,3,5,5,4,4,4,3,4,5,5,4,"Generative AI/Adversarial networks (GANs), Computer Vision, and more emphasis on Neural Networks",Clustering and Association Rule Mining,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes.","There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",4.2727,neutral,4.125,3.7692,4.25,9.09,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",topics developed clearly logically technical concepts explained clearly making understanding enriched throughout assignments particularly labs insightful clearly outlined could follow along learn concepts initially abstract theory classes many assignments appear addressing areas within topic reflective journal example may integrated elsewhere avoid duplicate responses derived assignments labs,2,0.4980344584077689,Practical Labs & Hands-on Learning
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",24,Male,Group A,4,5,4,5,5,3,3,4,5,5,4,3,3,5,4,4,3,4,1,4,4,4,4,3,5,3,4,3,3,3,3,2,4,5,4,4,4,4,1,1,4,5,5,5,none because the topics that were covered met my expectations and it was well outlined by the course outline and the lecturer,none,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics","to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",4.2727,neutral,3.375,3.4615,3.8333,9.09,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",liked learning data analytics visualizations clustering association rule mapping also practical implementation two modules also liked dashboarding customer facing analytics reduce number slides many modules like regression slides lot read master content,2,0.9631219471239996,Practical Labs & Hands-on Learning
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",25,Female,Group A,4,5,4,5,3,3,4,4,3,2,1,5,5,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,4,3,4,3,3,3,4,,,The journals and quizzes,Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,3.4545,negative,3.625,3.0,3.6667,13.64,The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,journals quizzes physical cat cat n't lot revise cat,4,0.9266470581987748,Assessments & Feedback
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",26,Male,Group A,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,3,3,3,5,4,4,3,3,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,Continuous intelligence and Data collaboration,,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs.",The slides could be more organised to make it easier to go through,4.8182,positive,3.625,3.4615,4.5,27.27,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through",variety sodtware learnt use practice amount practice enabled various labs slides could organised make easier go,4,0.3971616240932526,Assessments & Feedback
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",27,Female,Group A,1,5,5,4,5,1,1,4,4,4,5,3,3,4,3,3,1,4,1,2,4,1,1,4,5,4,4,1,1,2,3,4,4,5,4,4,4,3,3,4,4,4,5,5,none,none,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics",I have none,3.5455,negative,2.75,2.7692,4.0833,9.09,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none",liked practical labs encourgaed critical thinking problem solving appreciated strict deadlines encouraged discipline planning ahead liked reflective journals allowed recall honest understanding topics none,2,0.9494113804274872,Practical Labs & Hands-on Learning
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",28,Female,Group A,3,5,5,5,5,2,3,4,5,2,4,3,2,5,3,5,2,4,3,4,3,1,1,5,5,3,3,2,1,1,2,3,2,3,5,4,3,3,4,4,5,5,3,5,,,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable",The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it,3.9091,neutral,3.375,2.6154,3.8333,13.64,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it",practical daily life expanded knowledge especially investments prediction analysis field want pursue career moreover fact material refer positive aspect lab made practical assignments manageable content quite vast probably start rd year retaining knowledge span months e bi bi bit difficult leads cram content time rather try understand,2,0.9064652498238004,Practical Labs & Hands-on Learning
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",29,Female,Group A,4,5,5,5,5,3,3,4,5,5,5,5,4,4,4,4,3,3,1,4,4,4,4,4,4,4,3,4,3,3,2,5,4,5,5,3,4,2,3,2,3,3,5,3,Continous intelligence,,"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms.","The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together

",4.4545,neutral,3.5,3.6923,3.5,9.09,"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms. The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together

",lecturer detail oriented immense knowledge topics covered enjoyed labs since gave better understanding topics work applications platforms lecture notes long reading cat hard since concepts business intelligence business intelligence put together,0,0.967289569761116,Course Content & Structure
